service_id,date,exception_type
51903,20250517,1
50903,20250517,1
51003,20250517,1
51103,20250517,1
51203,20250517,1
51303,20250517,1
51403,20250517,1
51503,20250517,1
51904,20250518,1
50904,20250518,1
51004,20250518,1
51104,20250518,1
51204,20250518,1
51304,20250518,1
51404,20250518,1
51905,20250523,1
50905,20250523,1
51005,20250523,1
51105,20250523,1
51205,20250523,1
51305,20250523,1
51405,20250523,1
51903,20250524,1
50903,20250524,1
51003,20250524,1
51103,20250524,1
51203,20250524,1
51303,20250524,1
51403,20250524,1
51503,20250524,1
51904,20250525,1
50904,20250525,1
51004,20250525,1
51104,20250525,1
51204,20250525,1
51304,20250525,1
51404,20250525,1
51934,20250526,1
50934,20250526,1
51034,20250526,1
51134,20250526,1
51234,20250526,1
51334,20250526,1
51434,20250526,1
34,20250526,1
5,20250526,2
51905,20250527,1
50905,20250527,1
51005,20250527,1
51105,20250527,1
51205,20250527,1
51305,20250527,1
51405,20250527,1
51905,20250528,1
50905,20250528,1
51005,20250528,1
51105,20250528,1
51205,20250528,1
51305,20250528,1
51405,20250528,1
51905,20250529,1
50905,20250529,1
51005,20250529,1
51105,20250529,1
51205,20250529,1
51305,20250529,1
51405,20250529,1
51905,20250530,1
50905,20250530,1
51005,20250530,1
51105,20250530,1
51205,20250530,1
51305,20250530,1
51405,20250530,1
51903,20250531,1
50903,20250531,1
51003,20250531,1
51103,20250531,1
51203,20250531,1
51303,20250531,1
51403,20250531,1
51503,20250531,1
51904,20250601,1
50904,20250601,1
51004,20250601,1
51104,20250601,1
51204,20250601,1
51304,20250601,1
51404,20250601,1
51905,20250602,1
50905,20250602,1
51005,20250602,1
51105,20250602,1
51205,20250602,1
51305,20250602,1
51405,20250602,1
51905,20250603,1
50905,20250603,1
51005,20250603,1
51105,20250603,1
51205,20250603,1
51305,20250603,1
51405,20250603,1
51905,20250604,1
50905,20250604,1
51005,20250604,1
51105,20250604,1
51205,20250604,1
51305,20250604,1
51405,20250604,1
51905,20250605,1
50905,20250605,1
51005,20250605,1
51105,20250605,1
51205,20250605,1
51305,20250605,1
51405,20250605,1
51905,20250606,1
50905,20250606,1
51005,20250606,1
51105,20250606,1
51205,20250606,1
51305,20250606,1
51405,20250606,1
51903,20250607,1
50903,20250607,1
51003,20250607,1
51103,20250607,1
51203,20250607,1
51303,20250607,1
51403,20250607,1
51503,20250607,1
51904,20250608,1
50904,20250608,1
51004,20250608,1
51104,20250608,1
51204,20250608,1
51304,20250608,1
51404,20250608,1
51905,20250609,1
50905,20250609,1
51005,20250609,1
51105,20250609,1
51205,20250609,1
51305,20250609,1
51405,20250609,1
51905,20250610,1
50905,20250610,1
51005,20250610,1
51105,20250610,1
51205,20250610,1
51305,20250610,1
51405,20250610,1
51905,20250611,1
50905,20250611,1
51005,20250611,1
51105,20250611,1
51205,20250611,1
51305,20250611,1
51405,20250611,1
51905,20250612,1
50905,20250612,1
51005,20250612,1
51105,20250612,1
51205,20250612,1
51305,20250612,1
51405,20250612,1
51905,20250613,1
50905,20250613,1
51005,20250613,1
51105,20250613,1
51205,20250613,1
51305,20250613,1
51405,20250613,1
51903,20250614,1
50903,20250614,1
51003,20250614,1
51103,20250614,1
51203,20250614,1
51303,20250614,1
51403,20250614,1
51503,20250614,1
51904,20250615,1
50904,20250615,1
51004,20250615,1
51104,20250615,1
51204,20250615,1
51304,20250615,1
51404,20250615,1
51905,20250616,1
50905,20250616,1
51005,20250616,1
51105,20250616,1
51205,20250616,1
51305,20250616,1
51405,20250616,1
51905,20250617,1
50905,20250617,1
51005,20250617,1
51105,20250617,1
51205,20250617,1
51305,20250617,1
51405,20250617,1
51905,20250618,1
50905,20250618,1
51005,20250618,1
51105,20250618,1
51205,20250618,1
51305,20250618,1
51405,20250618,1
51940,20250619,1
50940,20250619,1
51040,20250619,1
51140,20250619,1
51240,20250619,1
51340,20250619,1
51440,20250619,1
40,20250619,1
5,20250619,2
51905,20250620,1
50905,20250620,1
51005,20250620,1
51105,20250620,1
51205,20250620,1
51305,20250620,1
51405,20250620,1
51903,20250621,1
50903,20250621,1
51003,20250621,1
51103,20250621,1
51203,20250621,1
51303,20250621,1
51403,20250621,1
51503,20250621,1
51904,20250622,1
50904,20250622,1
51004,20250622,1
51104,20250622,1
51204,20250622,1
51304,20250622,1
51404,20250622,1
51905,20250623,1
50905,20250623,1
51005,20250623,1
51105,20250623,1
51205,20250623,1
51305,20250623,1
51405,20250623,1
51905,20250624,1
50905,20250624,1
51005,20250624,1
51105,20250624,1
51205,20250624,1
51305,20250624,1
51405,20250624,1
51905,20250625,1
50905,20250625,1
51005,20250625,1
51105,20250625,1
51205,20250625,1
51305,20250625,1
51405,20250625,1
51905,20250626,1
50905,20250626,1
51005,20250626,1
51105,20250626,1
51205,20250626,1
51305,20250626,1
51405,20250626,1
51905,20250627,1
50905,20250627,1
51005,20250627,1
51105,20250627,1
51205,20250627,1
51305,20250627,1
51405,20250627,1
51903,20250628,1
50903,20250628,1
51003,20250628,1
51103,20250628,1
51203,20250628,1
51303,20250628,1
51403,20250628,1
51503,20250628,1
51904,20250629,1
50904,20250629,1
51004,20250629,1
51104,20250629,1
51204,20250629,1
51304,20250629,1
51404,20250629,1
51905,20250630,1
50905,20250630,1
51005,20250630,1
51105,20250630,1
51205,20250630,1
51305,20250630,1
51405,20250630,1
51905,20250701,1
50905,20250701,1
