service_id,date,exception_type
51005,20250701,1
51105,20250701,1
51205,20250701,1
51305,20250701,1
51405,20250701,1
51905,20250702,1
50905,20250702,1
51005,20250702,1
51105,20250702,1
51205,20250702,1
51305,20250702,1
51405,20250702,1
51905,20250703,1
50905,20250703,1
51005,20250703,1
51105,20250703,1
51205,20250703,1
51305,20250703,1
51405,20250703,1
51929,20250704,1
50929,20250704,1
51029,20250704,1
51129,20250704,1
51229,20250704,1
51329,20250704,1
51429,20250704,1
51529,20250704,1
29,20250704,1
5,20250704,2
51903,20250705,1
50903,20250705,1
51003,20250705,1
51103,20250705,1
51203,20250705,1
51303,20250705,1
51403,20250705,1
51503,20250705,1
51904,20250706,1
50904,20250706,1
51004,20250706,1
51104,20250706,1
51204,20250706,1
51304,20250706,1
51404,20250706,1
51504,20250706,1
51905,20250707,1
50905,20250707,1
51005,20250707,1
51105,20250707,1
51205,20250707,1
51305,20250707,1
51405,20250707,1
51905,20250708,1
50905,20250708,1
51005,20250708,1
51105,20250708,1
51205,20250708,1
51305,20250708,1
51405,20250708,1
51905,20250709,1
50905,20250709,1
51005,20250709,1
51105,20250709,1
51205,20250709,1
51305,20250709,1
51405,20250709,1
51905,20250710,1
50905,20250710,1
51005,20250710,1
51105,20250710,1
51205,20250710,1
51305,20250710,1
51405,20250710,1
51905,20250711,1
50905,20250711,1
51005,20250711,1
51105,20250711,1
51205,20250711,1
51305,20250711,1
51405,20250711,1
51903,20250712,1
50903,20250712,1
51003,20250712,1
51103,20250712,1
51203,20250712,1
51303,20250712,1
51403,20250712,1
51503,20250712,1
51904,20250713,1
50904,20250713,1
51004,20250713,1
51104,20250713,1
51204,20250713,1
51304,20250713,1
51404,20250713,1
51905,20250714,1
50905,20250714,1
51005,20250714,1
51105,20250714,1
51205,20250714,1
51305,20250714,1
51405,20250714,1
51905,20250715,1
50905,20250715,1
51005,20250715,1
51105,20250715,1
51205,20250715,1
51305,20250715,1
51405,20250715,1
51905,20250716,1
50905,20250716,1
51005,20250716,1
51105,20250716,1
51205,20250716,1
51305,20250716,1
51405,20250716,1
51905,20250717,1
50905,20250717,1
51005,20250717,1
51105,20250717,1
51205,20250717,1
51305,20250717,1
51405,20250717,1
51905,20250718,1
50905,20250718,1
51005,20250718,1
51105,20250718,1
51205,20250718,1
51305,20250718,1
51405,20250718,1
51903,20250719,1
50903,20250719,1
51003,20250719,1
51103,20250719,1
51203,20250719,1
51303,20250719,1
51403,20250719,1
51503,20250719,1
51904,20250720,1
50904,20250720,1
51004,20250720,1
51104,20250720,1
51204,20250720,1
51304,20250720,1
51404,20250720,1
51905,20250721,1
50905,20250721,1
51005,20250721,1
51105,20250721,1
51205,20250721,1
51305,20250721,1
51405,20250721,1
51905,20250722,1
50905,20250722,1
51005,20250722,1
51105,20250722,1
51205,20250722,1
51305,20250722,1
51405,20250722,1
51905,20250723,1
50905,20250723,1
51005,20250723,1
51105,20250723,1
51205,20250723,1
51305,20250723,1
51405,20250723,1
51905,20250724,1
50905,20250724,1
51005,20250724,1
51105,20250724,1
51205,20250724,1
51305,20250724,1
51405,20250724,1
51905,20250725,1
50905,20250725,1
51005,20250725,1
51105,20250725,1
51205,20250725,1
51305,20250725,1
51405,20250725,1
51903,20250726,1
50903,20250726,1
51003,20250726,1
51103,20250726,1
51203,20250726,1
51303,20250726,1
51403,20250726,1
51503,20250726,1
51904,20250727,1
50904,20250727,1
51004,20250727,1
51104,20250727,1
51204,20250727,1
51304,20250727,1
51404,20250727,1
51905,20250728,1
50905,20250728,1
51005,20250728,1
51105,20250728,1
51205,20250728,1
51305,20250728,1
51405,20250728,1
51905,20250729,1
50905,20250729,1
51005,20250729,1
51105,20250729,1
51205,20250729,1
51305,20250729,1
51405,20250729,1
51903,20250802,1
50903,20250802,1
51003,20250802,1
51103,20250802,1
51203,20250802,1
51303,20250802,1
51403,20250802,1
51904,20250803,1
50904,20250803,1
51004,20250803,1
51104,20250803,1
51204,20250803,1
51304,20250803,1
51903,20250809,1
50903,20250809,1
51003,20250809,1
51103,20250809,1
51203,20250809,1
51303,20250809,1
51403,20250809,1
51904,20250810,1
50904,20250810,1
51004,20250810,1
51104,20250810,1
51204,20250810,1
51304,20250810,1
51903,20250816,1
50903,20250816,1
51003,20250816,1
51103,20250816,1
51203,20250816,1
51303,20250816,1
51403,20250816,1
51904,20250817,1
50904,20250817,1
51004,20250817,1
51104,20250817,1
51204,20250817,1
51304,20250817,1
